,Unnamed: 0,winery,region_2,country,price,Latitude,Longitude,City,Temperature
115,1138,Esser,Central Coast,US,12.0,-33.3117096,151.3120675,cessnock,72.0
116,1044,Duende,Central Valley,US,12.0,38.0,-121.4,country club,84.99
117,852,Crush,Sonoma,US,12.0,38.511080299999996,-122.8473388,windsor,51.8
118,508,Butterfly Kiss,California Other,US,12.0,39.3565832,-120.1821578,truckee,69.8
119,496,Buffalo Ridge,Central Coast,US,12.0,-33.3117096,151.3120675,cessnock,72.0
120,381,Black's Station,Central Valley,US,12.0,38.0,-121.4,country club,84.99
121,161,Aquas,California Other,US,12.0,39.3565832,-120.1821578,truckee,69.8
122,139,Angel's Cup,California Other,US,12.0,39.3565832,-120.1821578,truckee,69.8
123,1519,Hey Mambo,California Other,US,12.125,39.3565832,-120.1821578,truckee,69.8
124,2202,Montevina,Sierra Foothills,US,12.157894736842106,33.584581799999995,-111.8089768,fountain hills,98.6
125,564,Campus Oaks,Central Valley,US,12.333333333333336,38.0,-121.4,country club,84.99
126,1148,Eufloria,Washington Other,US,12.4,41.665744000000004,-70.141765,south yarmouth,53.01
127,2982,Siskiyou Vineyards,Oregon Other,US,12.5,45.562540399999996,-122.66652959999999,portland,69.01
128,896,Dancing Coyote,Central Valley,US,12.6,38.0,-121.4,country club,84.99
129,2120,McManis,California Other,US,12.636363636363635,39.3565832,-120.1821578,truckee,69.8
130,2466,Peirano,Central Valley,US,12.657894736842106,38.0,-121.4,country club,84.99
131,2801,Sagelands,Columbia Valley,US,12.75,34.000749299999995,-81.03433129999999,columbia,66.2
132,3614,Wine Out West,Columbia Valley,US,13.0,34.000749299999995,-81.03433129999999,columbia,66.2
133,3353,Truant,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
134,3253,The Winemaker's Loft,Columbia Valley,US,13.0,34.000749299999995,-81.03433129999999,columbia,66.2
135,3232,The Divining Rod,Central Valley,US,13.0,38.0,-121.4,country club,84.99
136,2898,Sequin,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
137,2873,Script & Seal,Washington Other,US,13.0,41.665744000000004,-70.141765,south yarmouth,53.01
138,2868,Scotto Family Cellars,Central Valley,US,13.0,38.0,-121.4,country club,84.99
139,2357,Once Upon a Vine,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
140,2290,Nine x Nine,Central Valley,US,13.0,38.0,-121.4,country club,84.99
141,2234,Muddy Boot,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
142,2195,Monogamy,North Coast,US,13.0,41.506534,-81.6939953,cleveland,51.01
143,2161,Michael Sullberg,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
144,2083,Masked Rider,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
145,1683,Jellybean Wines,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
146,1582,Hunt Country Vineyards,Finger Lakes,US,13.0,44.494587599999996,-115.156944,hailey,62.6
147,1310,Gallo Family Vineyards,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
148,1292,Frost Bitten,Columbia Valley,US,13.0,34.000749299999995,-81.03433129999999,columbia,66.2
149,1274,Freelander,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
150,1257,Four Paws & A Tail,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
151,999,Domaine Laurier,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
152,356,Bieler Family,Washington Other,US,13.0,41.665744000000004,-70.141765,south yarmouth,53.01
153,278,Baron Herzog,Central Valley,US,13.0,38.0,-121.4,country club,84.99
154,205,Attic Cellar,Finger Lakes,US,13.0,44.494587599999996,-115.156944,hailey,62.6
155,79,All About Red,California Other,US,13.0,39.3565832,-120.1821578,truckee,69.8
156,1235,For a Song,Columbia Valley,US,13.2,34.000749299999995,-81.03433129999999,columbia,66.2
157,2559,Prejean,Finger Lakes,US,13.333333333333336,44.494587599999996,-115.156944,hailey,62.6
158,2455,Pavillion Crossing,Central Valley,US,13.333333333333336,38.0,-121.4,country club,84.99
159,2427,Parducci,California Other,US,13.333333333333336,39.3565832,-120.1821578,truckee,69.8
160,226,Avelina,Sonoma,US,13.333333333333336,38.511080299999996,-122.8473388,windsor,51.8
161,558,Cambridge & Sunset,California Other,US,13.384615384615385,39.3565832,-120.1821578,truckee,69.8
162,2941,Shooting Star,Washington Other,US,13.4,41.665744000000004,-70.141765,south yarmouth,53.01
163,3003,Snoqualmie,Columbia Valley,US,13.419354838709678,34.000749299999995,-81.03433129999999,columbia,66.2
164,413,Bogle,California Other,US,13.466666666666667,39.3565832,-120.1821578,truckee,69.8
165,2163,Michelle,Columbia Valley,US,13.5,34.000749299999995,-81.03433129999999,columbia,66.2
166,2300,Noble Vines,Central Coast,US,13.521739130434785,-33.3117096,151.3120675,cessnock,72.0
167,672,Charles & Charles,Columbia Valley,US,13.6,34.000749299999995,-81.03433129999999,columbia,66.2
168,2141,Merritt,New York Other,US,13.666666666666664,40.7281128,-73.99339,new york,63.0
169,38,Acrobat,Oregon Other,US,13.75,45.562540399999996,-122.66652959999999,portland,69.01
170,2474,Peltier,Central Valley,US,13.8,38.0,-121.4,country club,84.99
171,2909,Seven Daughters,California Other,US,13.857142857142858,39.3565832,-120.1821578,truckee,69.8
172,1799,Korbel,California Other,US,13.981818181818182,39.3565832,-120.1821578,truckee,69.8
173,3632,Woodbridge,California Other,US,14.0,39.3565832,-120.1821578,truckee,69.8
174,3630,Wondrous,Columbia Valley,US,14.0,34.000749299999995,-81.03433129999999,columbia,66.2
175,3628,Wolfgang Puck,California Other,US,14.0,39.3565832,-120.1821578,truckee,69.8
176,3619,Wines Gone Wild,Sonoma,US,14.0,38.511080299999996,-122.8473388,windsor,51.8
177,3117,Stone Wolf,Willamette Valley,US,14.0,45.3442868,-122.66703740000001,west linn,68.0
178,3099,Stephen Vincent,California Other,US,14.0,39.3565832,-120.1821578,truckee,69.8
179,2871,Screw Kappa Napa,Napa,US,14.0,38.2971367,-122.28552930000001,napa,79.0
180,2650,Red Rock,California Other,US,14.0,39.3565832,-120.1821578,truckee,69.8
181,2609,R.H. Phillips,Central Valley,US,14.0,38.0,-121.4,country club,84.99
182,2573,Prophecy,California Other,US,14.0,39.3565832,-120.1821578,truckee,69.8
183,2571,Project Paso,Central Coast,US,14.0,-33.3117096,151.3120675,cessnock,72.0
184,2521,Pinot Patch,Sonoma,US,14.0,38.511080299999996,-122.8473388,windsor,51.8
185,2479,Penguin Bay,Finger Lakes,US,14.0,44.494587599999996,-115.156944,hailey,62.6
186,2429,Paris Valley Road Cellars,California Other,US,14.0,39.3565832,-120.1821578,truckee,69.8
